"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","category","neglog10p","neglog10p_plot"
0,6.93011241047762,0.943,0.071,0,"FN1","FDR<0.01 & |log2FC|>1",Inf,300
0,8.13164033610929,0.895,0.048,0,"COL1A2","FDR<0.01 & |log2FC|>1",Inf,300
0,7.86628084136636,0.847,0.039,0,"BGN","FDR<0.01 & |log2FC|>1",Inf,300
0,8.8334134024282,0.795,0.005,0,"PDGFRB","FDR<0.01 & |log2FC|>1",Inf,300
0,11.039180835383,0.773,0.005,0,"COL3A1","FDR<0.01 & |log2FC|>1",Inf,300
0,5.96414275674592,0.786,0.027,0,"TIMP3","FDR<0.01 & |log2FC|>1",Inf,300
0,6.09166269733576,0.808,0.05,0,"COL4A1","FDR<0.01 & |log2FC|>1",Inf,300
0,9.16420656692915,0.755,0.005,0,"DCN","FDR<0.01 & |log2FC|>1",Inf,300
0,5.00479611092395,0.799,0.066,0,"SPARCL1","FDR<0.01 & |log2FC|>1",Inf,300
0,7.10824287455132,0.738,0.028,0,"NDUFA4L2","FDR<0.01 & |log2FC|>1",Inf,300
0,6.10595765836216,0.747,0.055,0,"FSTL1","FDR<0.01 & |log2FC|>1",Inf,300
0,5.8622322087422,0.694,0.02,0,"GGT5","FDR<0.01 & |log2FC|>1",Inf,300
0,8.02113094376462,0.686,0.014,0,"MXRA8","FDR<0.01 & |log2FC|>1",Inf,300
0,6.77194759618042,0.712,0.043,0,"PCOLCE","FDR<0.01 & |log2FC|>1",Inf,300
0,6.70472546269857,0.681,0.041,0,"ACTA2","FDR<0.01 & |log2FC|>1",Inf,300
0,5.11546540473046,0.655,0.028,0,"CAV1","FDR<0.01 & |log2FC|>1",Inf,300
0,5.27339072931044,0.655,0.031,0,"LAMA4","FDR<0.01 & |log2FC|>1",Inf,300
0,7.86708109324379,0.638,0.017,0,"THY1","FDR<0.01 & |log2FC|>1",Inf,300
0,5.87460132455792,0.651,0.03,0,"LHFPL6","FDR<0.01 & |log2FC|>1",Inf,300
0,6.67389737037072,0.638,0.021,0,"NID1","FDR<0.01 & |log2FC|>1",Inf,300
0,5.38399039401939,0.655,0.04,0,"TFPI","FDR<0.01 & |log2FC|>1",Inf,300
0,5.21831581233038,0.629,0.021,0,"FRZB","FDR<0.01 & |log2FC|>1",Inf,300
0,7.88949506833174,0.611,0.014,0,"PLXDC1","FDR<0.01 & |log2FC|>1",Inf,300
0,8.28067788054941,0.616,0.021,0,"RGS5","FDR<0.01 & |log2FC|>1",Inf,300
0,5.76751693503445,0.611,0.017,0,"ITGA1","FDR<0.01 & |log2FC|>1",Inf,300
0,5.80937456219158,0.594,0.011,0,"MEG3","FDR<0.01 & |log2FC|>1",Inf,300
0,6.36163785758693,0.603,0.024,0,"TGFB1I1","FDR<0.01 & |log2FC|>1",Inf,300
0,9.01004160852766,0.581,0.007,0,"PLAC9","FDR<0.01 & |log2FC|>1",Inf,300
0,5.98517981962752,0.594,0.021,0,"CFH","FDR<0.01 & |log2FC|>1",Inf,300
0,6.83057069803921,0.563,0.013,0,"IGFBP6","FDR<0.01 & |log2FC|>1",Inf,300
0,7.53211178905129,0.563,0.024,0,"CCDC102B","FDR<0.01 & |log2FC|>1",Inf,300
0,9.49250203052031,0.541,0.004,0,"KCNE4","FDR<0.01 & |log2FC|>1",Inf,300
0,5.92142755535118,0.55,0.015,0,"DKK3","FDR<0.01 & |log2FC|>1",Inf,300
0,7.31470584673774,0.546,0.014,0,"AEBP1","FDR<0.01 & |log2FC|>1",Inf,300
0,8.60431768989159,0.528,0.004,0,"HIGD1B","FDR<0.01 & |log2FC|>1",Inf,300
0,9.77888035499878,0.52,0.003,0,"CD248","FDR<0.01 & |log2FC|>1",Inf,300
0,7.07772595897291,0.515,0.006,0,"EBF1","FDR<0.01 & |log2FC|>1",Inf,300
0,8.11902881222238,0.515,0.006,0,"COL5A3","FDR<0.01 & |log2FC|>1",Inf,300
0,6.59463896158021,0.52,0.014,0,"EMILIN1","FDR<0.01 & |log2FC|>1",Inf,300
0,7.52658597554014,0.502,0.015,0,"GJC1","FDR<0.01 & |log2FC|>1",Inf,300
0,6.77896668603842,0.502,0.016,0,"CCDC80","FDR<0.01 & |log2FC|>1",Inf,300
0,6.05988637504122,0.498,0.012,0,"ADGRA2","FDR<0.01 & |log2FC|>1",Inf,300
0,7.66993273637001,0.498,0.014,0,"COL5A1","FDR<0.01 & |log2FC|>1",Inf,300
0,8.88023889239762,0.485,0.002,0,"LUM","FDR<0.01 & |log2FC|>1",Inf,300
0,8.8046819718816,0.498,0.017,0,"TBX2","FDR<0.01 & |log2FC|>1",Inf,300
0,9.01458145154294,0.48,0.003,0,"PTH1R","FDR<0.01 & |log2FC|>1",Inf,300
0,7.3706838302655,0.48,0.005,0,"GJA4","FDR<0.01 & |log2FC|>1",Inf,300
0,5.17671304457121,0.485,0.015,0,"LRRC32","FDR<0.01 & |log2FC|>1",Inf,300
0,7.76576835099732,0.463,0.008,0,"SYNPO2","FDR<0.01 & |log2FC|>1",Inf,300
0,7.31569891302328,0.454,0.014,0,"EDNRA","FDR<0.01 & |log2FC|>1",Inf,300
0,6.74679971887789,0.441,0.011,0,"MRVI1","FDR<0.01 & |log2FC|>1",Inf,300
0,8.05663865997102,0.432,0.004,0,"CSPG4","FDR<0.01 & |log2FC|>1",Inf,300
0,7.67099363474917,0.419,0.007,0,"OLFML2A","FDR<0.01 & |log2FC|>1",Inf,300
0,8.24183411323284,0.419,0.01,0,"ENPEP","FDR<0.01 & |log2FC|>1",Inf,300
0,6.27568300489639,0.41,0.007,0,"COX7A1","FDR<0.01 & |log2FC|>1",Inf,300
0,7.80537848074321,0.397,0.002,0,"CDH6","FDR<0.01 & |log2FC|>1",Inf,300
0,7.76167222440462,0.393,0.005,0,"CPXM1","FDR<0.01 & |log2FC|>1",Inf,300
0,8.02104152469084,0.389,0.004,0,"LAMC3","FDR<0.01 & |log2FC|>1",Inf,300
0,8.49596056861546,0.376,0.004,0,"KCNJ8","FDR<0.01 & |log2FC|>1",Inf,300
0,5.35775021814997,0.371,0.007,0,"NID2","FDR<0.01 & |log2FC|>1",Inf,300
0,8.8786296331327,0.362,0.002,0,"ECM2","FDR<0.01 & |log2FC|>1",Inf,300
0,6.3469926350392,0.345,0.005,0,"ATP1A2","FDR<0.01 & |log2FC|>1",Inf,300
0,7.57751796817045,0.332,0.002,0,"ABCC9","FDR<0.01 & |log2FC|>1",Inf,300
0,8.05662459537756,0.332,0.003,0,"LMOD1","FDR<0.01 & |log2FC|>1",Inf,300
0,8.61861449750363,0.314,0.001,0,"COX4I2","FDR<0.01 & |log2FC|>1",Inf,300
0,8.34675617494868,0.31,0.003,0,"FOXS1","FDR<0.01 & |log2FC|>1",Inf,300
0,9.52468945938181,0.301,0.001,0,"FAM162B","FDR<0.01 & |log2FC|>1",Inf,300
0,7.91398416356681,0.284,0.002,0,"SLIT3","FDR<0.01 & |log2FC|>1",Inf,300
0,9.62251031808382,0.258,0.001,0,"TBX15","FDR<0.01 & |log2FC|>1",Inf,300
3.85371203756172e-322,8.32706276825477,0.314,0.004,1.29245794315745e-317,"HEYL","FDR<0.01 & |log2FC|>1",321.414120740425,300
1.15907800514356e-320,5.26664780145759,0.476,0.018,3.88731581365049e-316,"FHL1","FDR<0.01 & |log2FC|>1",319.935887335336,300
5.17312422609369e-318,5.08560722176075,0.633,0.04,1.7349624029473e-313,"CAVIN3","FDR<0.01 & |log2FC|>1",317.286247092428,300
2.50943945386232e-317,8.23283687092943,0.406,0.012,8.41615804036344e-313,"PRELP","FDR<0.01 & |log2FC|>1",316.600423278233,300
1.56319805056524e-314,3.86367929775463,0.454,0.016,5.2426536219857e-310,"TMEM204","FDR<0.01 & |log2FC|>1",313.805985995225,300
8.4601615816999e-313,8.30799330535895,0.31,0.005,2.83736899127051e-308,"SLC38A11","FDR<0.01 & |log2FC|>1",312.072621342236,300
3.63566509451217e-312,5.83139844607411,0.886,0.106,1.21932935939749e-307,"COL6A2","FDR<0.01 & |log2FC|>1",311.439416129384,300
2.03223705190313e-311,7.28772418607937,0.432,0.015,6.81571662467273e-307,"LZTS1","FDR<0.01 & |log2FC|>1",310.692025634809,300
9.4466734378848e-307,9.8000462974191,0.231,0.001,3.1682253375978e-302,"ASPN","FDR<0.01 & |log2FC|>1",306.024721097513,300
