"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
0,10.7797648848171,0.858,0.007,0,"CLDN5","Upregulated"
0,10.5590661385999,0.8,0.02,0,"VWF","Upregulated"
0,9.43037018236876,0.742,0.005,0,"CLEC14A","Upregulated"
0,10.9790328009888,0.717,0.001,0,"ADGRL4","Upregulated"
0,6.63902231739727,0.7,0.027,0,"ESAM","Upregulated"
0,10.9057095718732,0.667,0.002,0,"ROBO4","Upregulated"
0,9.19274275595177,0.667,0.012,0,"PTPRB","Upregulated"
0,8.90538068238804,0.658,0.013,0,"CDH5","Upregulated"
0,9.44443081881289,0.642,0.005,0,"ECSCR","Upregulated"
0,7.25127492328148,0.633,0.01,0,"CALCRL","Upregulated"
0,9.32988520111469,0.617,0.01,0,"CD34","Upregulated"
0,8.94578651959062,0.592,0.015,0,"PLVAP","Upregulated"
0,7.4485441438119,0.583,0.008,0,"CXorf36","Upregulated"
0,11.870774025945,0.558,0.001,0,"CYYR1","Upregulated"
0,7.49142975148083,0.567,0.012,0,"CAVIN2","Upregulated"
0,9.10652716662705,0.542,0.003,0,"EMCN","Upregulated"
0,9.73922392251147,0.533,0.004,0,"TIE1","Upregulated"
0,9.0431988943669,0.508,0.006,0,"KDR","Upregulated"
0,5.9431377853199,0.458,0.008,0,"GJA1","Upregulated"
0,9.76853938123818,0.433,0.004,0,"SLCO2A1","Upregulated"
0,8.29003110642313,0.408,0.001,0,"MYCT1","Upregulated"
0,7.93848845945376,0.408,0.006,0,"PCDH12","Upregulated"
0,9.03214271948787,0.383,0.003,0,"PCAT19","Upregulated"
0,8.3776431024279,0.375,0.004,0,"ABCG2","Upregulated"
0,10.1065127356463,0.358,0.001,0,"HSPA12B","Upregulated"
0,10.0015464154159,0.342,0.001,0,"ARHGEF15","Upregulated"
0,11.5618188978154,0.292,0.001,0,"MMRN1","Upregulated"
1.07706310793392e-321,7.5810304104779,0.483,0.01,3.61225425138877e-317,"MMRN2","Upregulated"
6.56119177677175e-321,8.90803999889448,0.283,0.001,2.20049249809371e-316,"TEK","Upregulated"
5.5256301830885e-320,9.98569509188999,0.342,0.003,1.85318585080422e-315,"ESM1","Upregulated"
4.24560589597429e-317,5.58931823777324,0.7,0.028,1.42389130539186e-312,"GIMAP7","Upregulated"
6.27517496724502e-306,6.20286918435912,0.783,0.039,2.10456818051464e-301,"FLT1","Upregulated"
1.89842044515177e-301,7.17860265535671,0.467,0.01,6.36692248895001e-297,"LDB2","Upregulated"
1.8454356032076e-294,6.69169820598179,0.342,0.004,6.18922192603764e-290,"ABCB1","Upregulated"
2.707184172207e-292,7.74860604920103,0.292,0.002,9.07935427674784e-288,"CCM2L","Upregulated"
2.77043129963742e-292,7.33339744512757,0.3,0.003,9.29147249272399e-288,"BCL6B","Upregulated"
6.8491729975571e-286,9.04216622228418,0.375,0.006,2.2970756399207e-281,"BTNL9","Upregulated"
5.76549615617071e-281,7.48455727377422,0.708,0.035,1.93363210085653e-276,"RAMP2","Upregulated"
2.02047097807802e-279,6.31089254963524,0.575,0.02,6.77625556627807e-275,"TMEM204","Upregulated"
3.96085852847118e-276,6.8345771072586,0.683,0.032,1.32839273327867e-271,"RAMP3","Upregulated"
4.78135214984328e-266,9.30518207255209,0.333,0.005,1.60356988401444e-261,"FLT4","Upregulated"
1.03359644697329e-258,9.5438589550139,0.333,0.005,3.46647576385901e-254,"FCN3","Upregulated"
6.50377269710424e-247,6.40014124788393,0.358,0.007,2.18123528715482e-242,"ADCY4","Upregulated"
2.49135184510001e-246,13.5533104481951,0.175,0,8.35549581809642e-242,"ACKR1","Upregulated"
7.77697650081222e-246,6.41228872627492,0.45,0.013,2.6082423788424e-241,"NOVA2","Upregulated"
6.46240895017663e-234,7.07001283022237,0.425,0.012,2.16736271371024e-229,"FAM110D","Upregulated"
5.26110515925508e-229,5.45940322174505,0.425,0.013,1.76446944831097e-224,"LEF1","Upregulated"
3.49361660790033e-216,6.33948298492859,0.392,0.011,1.17168913795761e-211,"COL15A1","Upregulated"
3.68840382537231e-215,5.71043058425374,0.792,0.064,1.23701687495336e-210,"PECAM1","Upregulated"
4.78194721821876e-215,8.02473537014064,0.567,0.029,1.60376945804621e-210,"TM4SF18","Upregulated"
2.54727439181296e-213,6.11338592960898,0.417,0.013,8.54304885526231e-209,"JAM2","Upregulated"
2.16861382452961e-208,4.79927333813342,0.858,0.078,7.2730970447074e-204,"SPARCL1","Upregulated"
1.34988248957725e-202,7.42180682168515,0.45,0.018,4.52723589354418e-198,"SOX7","Upregulated"
1.41367601535205e-200,4.3122882415894,0.775,0.063,4.7411866202877e-196,"COL4A1","Upregulated"
2.13234217562839e-200,4.16097430582812,0.658,0.042,7.15144918862249e-196,"TIMP3","Upregulated"
1.30553502788065e-199,4.97847258608478,0.658,0.044,4.37850337650611e-195,"CD93","Upregulated"
9.92019670538889e-194,5.0882720215266,0.425,0.016,3.32703557105332e-189,"GIMAP6","Upregulated"
4.16952072219226e-193,6.77189921617145,0.675,0.05,1.39837385980884e-188,"NOTCH4","Upregulated"
2.42007054160539e-190,8.10585942570028,0.183,0.001,8.11643258243615e-186,"SPAAR","Upregulated"
3.63613047604579e-186,5.55697563028592,0.458,0.021,1.21948543905624e-181,"ACVRL1","Upregulated"
4.99573107206184e-183,7.27124569749815,0.717,0.063,1.6754682869481e-178,"SOX18","Upregulated"
8.03209840195361e-177,5.78225221154324,0.442,0.02,2.6938051620472e-172,"LIMS2","Upregulated"
1.6367838729031e-176,6.43513225957639,0.575,0.038,5.48944575294241e-172,"ANGPT2","Upregulated"
6.01286979539207e-176,6.51623968757794,0.375,0.014,2.01659627197859e-171,"AFAP1L1","Upregulated"
1.65732956683108e-173,7.98455130786387,0.192,0.002,5.55835190123808e-169,"FAM124B","Upregulated"
2.86126622060045e-173,5.6134323239414,0.442,0.021,9.59611465064979e-169,"KANK3","Upregulated"
1.87873978302612e-172,8.35810979075343,0.15,0.001,6.30091748431299e-168,"NR5A2","Upregulated"
3.02823405740893e-172,4.34919174865248,0.508,0.028,1.01560913817381e-167,"ITGA1","Upregulated"
4.92053624673948e-172,7.92662763544649,0.208,0.003,1.65024944643149e-167,"USHBP1","Upregulated"
1.98610993699567e-169,4.53985891236743,0.458,0.023,6.66101550669608e-165,"IL3RA","Upregulated"
8.46061002435161e-168,4.89760139951435,0.458,0.023,2.83751938996704e-163,"LRRC32","Upregulated"
1.06789077405141e-165,6.98545741545562,0.242,0.005,3.58149207801363e-161,"RUNDC3B","Upregulated"
5.50509792563799e-165,5.49601584816384,0.358,0.013,1.84629974230047e-160,"SH2D3C","Upregulated"
3.15149604250723e-164,5.69590345930839,0.808,0.094,1.05694874273607e-159,"GNG11","Upregulated"
1.87558529838544e-163,6.63495800472365,0.317,0.01,6.29033797372509e-159,"RAPGEF4","Upregulated"
