"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","category","neglog10p","neglog10p_plot"
1.01985002410746e-34,-1.69044844050667,0.61,0.855,3.42037301085159e-30,"CD163","FDR<0.01 & |log2FC|>1",33.9914636895043,33.9914636895043
3.20377569261426e-28,2.70275918750486,0.686,0.321,1.07448229178897e-23,"IL1B","FDR<0.01 & |log2FC|>1",27.4943378979779,27.4943378979779
1.36104912863569e-26,-2.92404997682132,0.233,0.558,4.56468656761837e-22,"MRC1","FDR<0.01 & |log2FC|>1",25.8661261981543,25.8661261981543
1.57031961903564e-25,-1.74569603673305,0.51,0.763,5.26653793832174e-21,"STAB1","FDR<0.01 & |log2FC|>1",24.8040119433512,24.8040119433512
1.21432034095615e-19,1.92758887976842,0.742,0.474,4.07258755949873e-15,"CCL3L1","FDR<0.01 & |log2FC|>1",18.9156667300997,18.9156667300997
5.91179378416764e-18,2.1545565696781,0.508,0.185,1.98269739933414e-13,"TNF","FDR<0.01 & |log2FC|>1",17.2282807234563,17.2282807234563
4.9504677839802e-16,1.07913468433178,0.89,0.775,1.66028788539128e-11,"CCL3","FDR<0.01 & |log2FC|>1",15.3053537613891,15.3053537613891
7.51061966143288e-15,0.668306694366359,0.965,0.916,2.51891162205136e-10,"RPL10","FDR<0.05",14.1243242301811,14.1243242301811
1.18843727606959e-14,1.93883509857206,0.641,0.394,3.9857809364822e-10,"CCL4L2","FDR<0.01 & |log2FC|>1",13.9250237347399,13.9250237347399
2.65577978518604e-14,0.660055052927836,0.969,0.956,8.90695424355695e-10,"EEF1A1","FDR<0.05",13.5758079391096,13.5758079391096
2.9918175381032e-14,0.847824117990861,0.831,0.663,1.00339576592905e-09,"RPS13","FDR<0.05",13.524064896306,13.524064896306
5.18569439302884e-14,-1.18186752213622,0.533,0.695,1.73917818553401e-09,"MSR1","FDR<0.01 & |log2FC|>1",13.2851930809589,13.2851930809589
5.88004396266599e-14,0.744620976995387,0.971,0.871,1.97204914419892e-09,"HLA-DRA","FDR<0.05",13.2306194268708,13.2306194268708
6.75608020752598e-14,1.33653977088315,0.674,0.418,2.26585418000006e-09,"BCL2A1","FDR<0.01 & |log2FC|>1",13.1703052031686,13.1703052031686
