"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.21322228983392e-18,2.19975749190734,0.296,0.092,7.42270491564502e-14,"Microglia","SEMA6B"
4.68836100265966e-25,1.8274963031392,0.533,0.215,1.572382513072e-20,"Microglia","EMP1"
8.4519363736867e-31,1.82222485645345,0.537,0.185,2.83461042100705e-26,"Microglia","EREG"
3.01803122808199e-11,1.73774701390241,0.304,0.138,1.01218731327414e-06,"Microglia","SPRY2"
2.43815391515418e-15,1.70192784619767,0.338,0.132,8.17708060064408e-11,"Microglia","LINC01588"
8.47404538106455e-24,1.6693845138283,0.462,0.176,2.84202533990143e-19,"Microglia","B3GNT2"
4.01307824582414e-30,1.64095545280354,0.575,0.226,1.3459061820845e-25,"Microglia","EHD1"
7.85268460286239e-30,1.61144801367208,0.65,0.29,2.63363336210799e-25,"Microglia","TNFAIP8"
3.03530164774696e-12,1.60753357421006,0.338,0.148,1.01797946662137e-07,"Microglia","ARC"
1.18533265341838e-21,1.54805861101733,0.467,0.186,3.97536865303455e-17,"Microglia","RNF19B"
2.65062200677145e-53,1.53730624531139,0.954,0.577,8.88965608631011e-49,"Microglia","CD44"
4.53480371726897e-16,1.51996163894282,0.292,0.097,1.52088247069767e-11,"Microglia","SLCO3A1"
4.47073294955038e-35,1.46314116922621,0.871,0.507,1.49939441662021e-30,"Microglia","PHLDA1"
1.73846064060911e-38,1.44542873671036,0.95,0.651,5.83044929647482e-34,"Microglia","ANXA1"
1.57951219691364e-28,1.43190264617727,0.733,0.368,5.29736800600896e-24,"Microglia","DUSP6"
1.98274716997156e-16,1.40781582237384,0.358,0.138,6.64973745865063e-12,"Microglia","SESTD1"
6.83018230049664e-32,1.40310324388759,0.679,0.291,2.29070653994056e-27,"Microglia","CYTOR"
2.18931763625292e-13,1.3806744433047,0.417,0.202,7.34253348846503e-09,"Microglia","OTUD4"
6.80880372731689e-21,1.37089840948819,0.454,0.18,2.28353659406754e-16,"Microglia","DOT1L"
3.81389000403337e-29,1.34918072590058,0.825,0.482,1.27910242955271e-24,"Microglia","PMAIP1"
2.10593038374571e-24,1.32751712612777,0.462,0.167,7.06286932100638e-20,"Microglia","CDC42EP3"
8.05135494079742e-36,1.32423201866042,0.938,0.598,2.70026342004464e-31,"Microglia","GPR183"
9.13239160457398e-27,1.31968128977501,0.596,0.254,3.06282149634202e-22,"Microglia","THBD"
