"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,9.6804220686406,0.624,0.004,0,"0","TREM2"
0,9.55029754817871,0.884,0.027,0,"0","C1QB"
0,9.32664181384327,0.435,0.003,0,"0","FOLR2"
0,9.14097666623933,0.373,0.002,0,"0","GPR34"
0,8.74805718902313,0.852,0.013,0,"0","C1QC"
0,8.44766756827677,0.407,0.006,0,"0","FCGR1A"
0,8.17595242155356,0.907,0.03,0,"0","C1QA"
0,8.12596553745223,0.553,0.005,0,"0","MS4A4A"
0,7.82815628826714,0.428,0.006,0,"0","TMIGD3"
0,7.80161402257321,0.603,0.006,0,"0","MSR1"
0,7.4644518655675,0.765,0.048,0,"0","APOC1"
0,7.06613374065392,0.594,0.042,0,"0","CCL4L2"
0,6.97880397942669,0.334,0.003,0,"0","SIGLEC1"
0,6.94253531506922,0.689,0.053,0,"0","CCL3L1"
0,6.90260926985466,0.274,0.002,0,"0","FPR3"
0,6.83452464908781,0.745,0.02,0,"0","MS4A7"
0,6.56638674147235,0.86,0.122,0,"0","CCL3"
0,6.4513350137855,0.895,0.235,0,"0","APOE"
0,6.31779952870316,0.356,0.018,0,"0","SDS"
0,6.30713041020029,0.779,0.021,0,"0","FCGR2A"
0,6.30284759390748,0.639,0.014,0,"0","OLR1"
0,6.18610529822504,0.52,0.006,0,"0","LILRB4"
0,6.17921070221226,0.675,0.014,0,"0","VSIG4"
0,6.1572655618871,0.464,0.006,0,"0","C3AR1"
0,6.05549313984093,0.77,0.094,0,"0","CCL4"
2.68445591285414e-05,2.47949622106424,0.201,0.317,0.900312824053022,"1","NMB"
2.48903930345966e-15,1.85029460997653,0.279,0.187,8.34774001594301e-11,"1","KRT17"
1.6951472046841e-26,1.81893912227634,0.468,0.358,5.68518469506954e-22,"1","IGFBP2"
0.00598118001916599,1.78105888742143,0.284,0.277,1,"1","IGFBP5"
0.00309010742778073,1.73027294830006,0.176,0.257,1,"1","S100A1"
0.0037137285500715,1.48228501060682,0.254,0.234,1,"1","MGP"
1.50356989127551e-18,1.43890016879222,0.267,0.156,5.04267270135981e-14,"1","MT1G"
6.30969198205601e-27,1.41883305422237,0.35,0.201,2.11614449694194e-22,"1","MT1E"
7.79122242004124e-07,1.38148194745301,0.6,0.781,0.0261302017523343,"1","ENO1"
1.62350152274504e-62,1.35021748510065,0.76,0.56,5.44489940698231e-58,"1","CD24"
1.03647285029672e-18,1.34761989432867,0.117,0.282,3.47612264532513e-14,"1","STAP2"
2.21764029494513e-06,1.34498292180993,0.437,0.432,0.0743752202118697,"1","CRABP2"
1.36761554007931e-12,1.29869982356506,0.137,0.271,4.586708998318e-08,"1","STK32C"
3.76925107748059e-17,1.28854731498756,0.252,0.144,1.26413142636544e-12,"1","KLK11"
7.06525364216262e-09,1.27939086096837,0.22,0.374,0.00023695447665085,"1","PFKP"
3.81593507238561e-11,1.27598940111885,0.303,0.226,1.27978830457669e-06,"1","CALML5"
1.50569909969331e-15,1.27554221384249,0.121,0.265,5.04981364055142e-11,"1","DEPTOR"
1.36577597262958e-08,1.266963688745,0.154,0.274,0.000458053945700508,"1","HIST2H2BE"
1.6780664945941e-05,1.26284983711572,0.16,0.255,0.56278994095697,"1","PLOD2"
3.50998371943539e-20,1.2532417448949,0.196,0.413,1.17717833982424e-15,"1","SNHG25"
2.01964786828554e-15,1.2494931512848,0.128,0.281,6.77349502065606e-11,"1","SLC27A5"
2.35233363215449e-16,1.2450299751859,0.642,0.769,7.88925653551972e-12,"1","UQCRH"
1.3083104521414e-17,1.23752156842682,0.155,0.337,4.38781159439183e-13,"1","UCHL5"
3.67403721010643e-16,1.23533151300621,0.303,0.19,1.2321985995255e-11,"1","WFDC2"
3.32569816661484e-07,1.23119697854924,0.148,0.253,0.0111537265111929,"1","RDH10"
3.56783648473143e-304,4.08304716092358,0.309,0.013,1.19658100024923e-299,"2","RNF222"
0,3.980024482638,0.582,0.03,0,"2","LINP1"
7.50946600942002e-293,3.86133106852662,0.439,0.049,2.51852471023929e-288,"2","AL512274.1"
0,3.70330017657209,0.576,0.033,0,"2","NCCRP1"
2.2188223027076e-243,3.54503434719654,0.267,0.014,7.44148623882075e-239,"2","PTCHD1"
0,3.51928138583375,0.471,0.027,0,"2","KCNK2"
3.92678916417257e-151,3.46884508951521,0.255,0.031,1.3169665498802e-146,"2","KRTAP5-AS1"
0,3.40390940943551,0.659,0.053,0,"2","BNIPL"
0,3.39674856211864,0.552,0.045,0,"2","TFAP2B"
4.2488421418617e-277,3.32664344479296,0.354,0.027,1.42497667753758e-272,"2","AP005205.2"
1.16283534370969e-288,3.2875031459389,0.306,0.014,3.89991717573357e-284,"2","LINC00707"
0,3.282977704503,0.469,0.03,0,"2","PKP1"
0,3.27282026431833,0.673,0.061,0,"2","AL392046.2"
0,3.2285075972726,0.411,0.018,0,"2","AC097625.1"
8.03508027923482e-309,3.19212750421445,0.376,0.026,2.69480522404977e-304,"2","KRT14"
0,3.18119116320661,0.704,0.068,0,"2","FAM83B"
0,3.17995492700692,0.612,0.052,0,"2","TRIM29"
2.70940234328786e-245,3.17723865308702,0.365,0.038,9.08679357891881e-241,"2","AC129926.1"
0,3.16382497051023,0.79,0.066,0,"2","ROPN1"
0,3.1508836020127,0.474,0.03,0,"2","LINC00473"
1.4466307317282e-208,3.13394166252162,0.262,0.019,4.85171014807004e-204,"2","WIF1"
3.93167733571829e-243,3.12889077565176,0.347,0.033,1.3186059448532e-238,"2","KLK7"
0,3.11618561249726,0.733,0.078,0,"2","LCN2"
0,3.1138231828297,0.848,0.074,0,"2","GABRP"
0,3.10973848976902,0.411,0.027,0,"2","KCNG1"
0,5.82458826997499,0.557,0.023,0,"3","DLGAP5"
0,5.67957290859526,0.443,0.016,0,"3","DEPDC1"
0,5.63065313862986,0.387,0.017,0,"3","KIF20A"
0,5.25763244651618,0.609,0.034,0,"3","CDCA8"
0,5.24215560776029,0.443,0.022,0,"3","CKAP2L"
0,5.21626347733974,0.662,0.036,0,"3","AURKB"
0,5.19482606358088,0.358,0.016,0,"3","CDC25C"
0,5.17124072008067,0.728,0.045,0,"3","NUF2"
0,5.08026366369697,0.632,0.035,0,"3","NDC80"
0,5.04664190618277,0.723,0.063,0,"3","TOP2A"
0,4.9909425363261,0.419,0.018,0,"3","DEPDC1B"
0,4.90810935953773,0.632,0.077,0,"3","AURKA"
0,4.8857576685794,0.581,0.039,0,"3","PIMREG"
0,4.84167513146892,0.601,0.056,0,"3","PLK1"
0,4.83156903799488,0.586,0.032,0,"3","NCAPG"
0,4.81875556774491,0.801,0.087,0,"3","UBE2C"
0,4.79923341706978,0.514,0.027,0,"3","KIF2C"
0,4.73926012187069,0.539,0.038,0,"3","GTSE1"
0,4.73720083335526,0.572,0.03,0,"3","CCNA2"
0,4.73111112821062,0.569,0.034,0,"3","NEK2"
0,4.72142299833453,0.537,0.035,0,"3","HMMR"
0,4.71266180265729,0.653,0.054,0,"3","CENPA"
0,4.66451296554277,0.702,0.056,0,"3","CDC20"
0,4.63008746481243,0.667,0.041,0,"3","CDCA3"
0,4.61883221726565,0.469,0.034,0,"3","TTK"
0,6.76218364559686,0.321,0.005,0,"4","SCGN"
0,5.91891780291011,0.576,0.04,0,"4","ACY3"
0,5.76953530383307,0.904,0.042,0,"4","HPX"
0,5.48322588366965,0.969,0.058,0,"4","FMOD"
0,5.47220186960946,0.992,0.062,0,"4","BPIFB2"
0,5.44103442913179,0.639,0.031,0,"4","TBX10"
0,5.40025677250287,0.696,0.022,0,"4","SHISA3"
0,5.31783344182341,0.799,0.03,0,"4","HOXB13"
0,5.22968902299027,0.967,0.066,0,"4","TSPAN8"
3.30001117890636e-297,5.09326009721983,0.31,0.01,1.10675774918161e-292,"4","AC019155.3"
2.58557770408817e-244,5.05307834537844,0.252,0.008,8.67151050397091e-240,"4","UGT2B28"
0,5.04622396053477,0.713,0.023,0,"4","LINC02303"
0,5.0379971464534,0.568,0.024,0,"4","UGT2B11"
0,4.9624142988921,0.977,0.048,0,"4","SRARP"
